class_id,precision,recall,f1,accuracy,true_positive,false_positive,false_negative
518,0.6666666666666666,1.0,0.8,0.9996485061511423,2,1,0
519,0.0,0.0,0.0,0.9996485061511423,0,1,0
520,0.0,0.0,0.0,0.9996485061511423,0,0,1
521,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
522,1.0,1.0,1.0,1.0,2,0,0
523,1.0,1.0,1.0,1.0,1,0,0
524,0.0,0.0,0.0,0.9992970123022847,0,0,2
525,0.0,0.0,0.0,1.0,0,0,0
526,0.5,0.5,0.5,0.9992970123022847,1,1,1
527,0.0,0.0,0.0,1.0,0,0,0
528,0.0,0.0,0.0,0.9992970123022847,0,0,2
529,1.0,1.0,1.0,1.0,1,0,0
530,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
531,0.0,0.0,0.0,1.0,0,0,0
532,0.0,0.0,0.0,0.9996485061511423,0,1,0
533,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
534,1.0,1.0,1.0,1.0,1,0,0
535,0.0,0.0,0.0,0.9996485061511423,0,0,1
536,0.0,0.0,0.0,1.0,0,0,0
537,0.0,0.0,0.0,0.9992970123022847,0,0,2
538,1.0,1.0,1.0,1.0,1,0,0
539,1.0,1.0,1.0,1.0,2,0,0
540,1.0,1.0,1.0,1.0,1,0,0
541,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
542,1.0,1.0,1.0,1.0,1,0,0
543,0.3333333333333333,1.0,0.5,0.9992970123022847,1,2,0
544,0.0,0.0,0.0,0.9996485061511423,0,0,1
545,0.0,0.0,0.0,0.9985940246045695,0,2,2
546,0.0,0.0,0.0,0.9996485061511423,0,0,1
547,0.0,0.0,0.0,0.9996485061511423,0,1,0
548,0.0,0.0,0.0,1.0,0,0,0
549,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
550,1.0,1.0,1.0,1.0,1,0,0
551,0.0,0.0,0.0,0.9992970123022847,0,1,1
552,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
553,0.0,0.0,0.0,0.9992970123022847,0,1,1
554,0.0,0.0,0.0,0.9996485061511423,0,0,1
555,0.0,0.0,0.0,0.9996485061511423,0,0,1
556,1.0,1.0,1.0,1.0,2,0,0
557,1.0,1.0,1.0,1.0,1,0,0
558,0.0,0.0,0.0,1.0,0,0,0
559,0.0,0.0,0.0,1.0,0,0,0
560,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
561,0.0,0.0,0.0,1.0,0,0,0
562,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
563,0.0,0.0,0.0,0.9992970123022847,0,1,1
564,1.0,1.0,1.0,1.0,1,0,0
565,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
566,0.0,0.0,0.0,0.9996485061511423,0,1,0
567,0.0,0.0,0.0,0.9996485061511423,0,0,1
568,0.0,0.0,0.0,1.0,0,0,0
569,0.3333333333333333,1.0,0.5,0.9992970123022847,1,2,0
570,1.0,1.0,1.0,1.0,1,0,0
571,0.0,0.0,0.0,1.0,0,0,0
572,1.0,1.0,1.0,1.0,1,0,0
573,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
574,0.0,0.0,0.0,0.9996485061511423,0,0,1
575,1.0,1.0,1.0,1.0,1,0,0
576,0.0,0.0,0.0,0.9992970123022847,0,0,2
577,0.0,0.0,0.0,0.998945518453427,0,2,1
578,0.0,0.0,0.0,0.9992970123022847,0,0,2
579,1.0,1.0,1.0,1.0,1,0,0
580,1.0,1.0,1.0,1.0,1,0,0
581,0.0,0.0,0.0,0.9992970123022847,0,0,2
582,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
583,0.0,0.0,0.0,0.9996485061511423,0,0,1
584,0.0,0.0,0.0,0.9992970123022847,0,1,1
585,1.0,1.0,1.0,1.0,2,0,0
586,1.0,1.0,1.0,1.0,1,0,0
587,1.0,1.0,1.0,1.0,1,0,0
588,0.0,0.0,0.0,1.0,0,0,0
589,1.0,1.0,1.0,1.0,1,0,0
590,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
591,0.0,0.0,0.0,0.9996485061511423,0,0,1
592,0.0,0.0,0.0,0.9996485061511423,0,0,1
593,1.0,1.0,1.0,1.0,1,0,0
594,0.0,0.0,0.0,0.998945518453427,0,2,1
595,0.0,0.0,0.0,0.9996485061511423,0,1,0
596,0.0,0.0,0.0,0.9996485061511423,0,1,0
597,0.0,0.0,0.0,1.0,0,0,0
598,0.0,0.0,0.0,0.9992970123022847,0,0,2
599,1.0,1.0,1.0,1.0,1,0,0
600,0.0,0.0,0.0,0.998945518453427,0,1,2
601,0.0,0.0,0.0,0.9992970123022847,0,0,2
602,0.0,0.0,0.0,0.9996485061511423,0,0,1
